"","ID","week","block","treatment","vol"
"170","436-2","7","OB","WM",0.11
"171","436-2","8","OB","WM",0.15
"172","439-1","0","OB","WM",1.12
"173","439-1","1","OB","WM",0.65
"174","439-1","2","OB","WM",0.11
"175","439-1","3","OB","WM",0.2
"176","439-1","4","OB","WM",0.07
"177","439-1","5","OB","WM",0.11
"178","439-1","6","OB","WM",0.12
"179","439-1","7","OB","WM",0.13
"180","439-1","8","OB","WM",0.04
"181","439-2","0","OB","WM",0.23
"182","439-2","1","OB","WM",0.05
"183","439-2","2","OB","WM",0.02
"184","439-2","3","OB","WM",0
"185","439-2","4","OB","WM",0
"186","439-2","5","OB","WM",0
"187","439-2","6","OB","WM",0
"188","439-2","7","OB","WM",0
"189","439-2","8","OB","WM",0
"190","441-1","0","L","AdLib",2.79
"191","441-1","1","L","AdLib",2.61
"192","441-1","2","L","AdLib",1.21
"193","441-1","3","L","AdLib",1.11
"194","441-1","4","L","AdLib",1.11
"195","441-1","5","L","AdLib",0.86
"196","441-1","6","L","AdLib",1.04
"197","441-1","7","L","AdLib",1.68
"198","441-1","8","L","AdLib",2.5
"199","453-1","0","L","WM",1.87
"200","453-1","1","L","WM",0.92
"201","453-1","2","L","WM",0.34
"202","453-1","3","L","WM",0.4
"203","453-1","4","L","WM",0.25
"204","453-1","5","L","WM",0.03
"205","453-1","6","L","WM",0.24
"206","453-1","7","L","WM",0.19
"207","453-1","8","L","WM",0.24
"208","453-2","0","L","WM",0
"209","453-2","1","L","WM",3.16
"210","453-2","2","L","WM",2.18
"211","453-2","3","L","WM",1.14
"212","453-2","4","L","WM",0.95
"213","453-2","5","L","WM",1
"214","453-2","6","L","WM",1.17
"215","453-2","7","L","WM",0.95
"216","453-2","8","L","WM",0.64
"217","455-1","0","L","WM",1.96
"218","455-1","1","L","WM",2.29
"219","455-1","2","L","WM",2.16
"220","455-1","3","L","WM",2.36
"221","455-1","4","L","WM",2.23
"222","455-1","5","L","WM",1.99
"223","455-1","6","L","WM",1.99
"224","455-1","7","L","WM",2.49
"225","455-1","8","L","WM",1.76
"226","473-1","0","L","WM",0.39
"227","473-1","1","L","WM",0.2
"228","473-1","2","L","WM",0.24
"229","473-1","3","L","WM",0.1
"230","473-1","4","L","WM",0.11
"231","473-1","5","L","WM",0.07
"232","473-1","6","L","WM",0.03
"233","473-1","7","L","WM",0.05
"234","473-1","8","L","WM",0
"235","480-1","0","L","WM",1.36
"236","480-1","1","L","WM",1.3
"237","480-1","2","L","WM",1.32
"238","480-1","3","L","WM",0.4
"239","480-1","4","L","WM",0.33
"240","480-1","5","L","WM",0.33
"241","480-1","6","L","WM",0.28
"242","480-1","7","L","WM",0.39
"243","480-1","8","L","WM",0.17
"244","481-1","0","OB","WM",0.23
"245","481-1","1","OB","WM",0.16
"246","481-1","2","OB","WM",0.07
"247","481-1","3","OB","WM",0
"248","481-1","4","OB","WM",0
"249","481-1","5","OB","WM",0
"250","481-1","6","OB","WM",0
"251","481-1","7","OB","WM",0
"252","481-1","8","OB","WM",0
"253","481-2","0","OB","WM",0.94
"254","481-2","1","OB","WM",0.48
"255","481-2","2","OB","WM",0.29
"256","481-2","3","OB","WM",0.31
"257","481-2","4","OB","WM",0.61
"258","481-2","5","OB","WM",0.34
"259","481-2","6","OB","WM",0.68
"260","481-2","7","OB","WM",1.53
"261","481-2","8","OB","WM",2.64
"262","481-3","0","OB","WM",0.39
"263","481-3","1","OB","WM",0.37
"264","481-3","2","OB","WM",0.24
"265","481-3","3","OB","WM",0.01
"266","481-3","4","OB","WM",0.01
"267","481-3","5","OB","WM",0
"268","481-3","6","OB","WM",0.01
"269","481-3","7","OB","WM",0.01
"270","481-3","8","OB","WM",0
"271","481-4","0","OB","AdLib",0
"272","481-4","1","OB","AdLib",0
"273","481-4","2","OB","AdLib",0
"274","481-4","3","OB","AdLib",0
"275","481-4","4","OB","AdLib",0
"276","481-4","5","OB","AdLib",0.01
"277","481-4","6","OB","AdLib",0.01
"278","481-4","7","OB","AdLib",0.01
"279","481-4","8","OB","AdLib",0.01
"280","483-1","0","OB","AdLib",4.61
"281","483-1","1","OB","AdLib",1.37
"282","483-1","2","OB","AdLib",0.83
"283","483-1","3","OB","AdLib",0.35
"284","483-1","4","OB","AdLib",0.42
"285","483-1","5","OB","AdLib",0.11
"286","483-1","6","OB","AdLib",0.24
"287","483-1","7","OB","AdLib",0.17
"288","483-1","8","OB","AdLib",0.17
"289","483-2","0","OB","AdLib",4.34
"290","483-2","1","OB","AdLib",1.7
"291","483-2","2","OB","AdLib",0.71
"292","483-2","3","OB","AdLib",0.41
"293","483-2","4","OB","AdLib",0.41
"294","483-2","5","OB","AdLib",0.28
"295","483-2","6","OB","AdLib",0.26
"296","483-2","7","OB","AdLib",0.35
"297","483-2","8","OB","AdLib",0.12
"298","484-1","0","OB","AdLib",0.27
"299","484-1","1","OB","AdLib",0
"300","484-1","2","OB","AdLib",0
"301","484-1","3","OB","AdLib",0.03
"302","484-1","4","OB","AdLib",0
"303","484-1","5","OB","AdLib",0
"304","484-1","6","OB","AdLib",0
"305","484-1","7","OB","AdLib",0
"306","484-1","8","OB","AdLib",0.02
"307","484-2","0","L","AdLib",0
"308","484-2","1","L","AdLib",0
"309","484-2","2","L","AdLib",0.07
"310","484-2","3","L","AdLib",0.71
"311","484-2","4","L","AdLib",0.21
"312","484-2","5","L","AdLib",0.33
"313","484-2","6","L","AdLib",0.6
"314","484-2","7","L","AdLib",0.29
"315","484-2","8","L","AdLib",0.42
"316","484-3","0","L","AdLib",0.96
"317","484-3","1","L","AdLib",0.7
"318","484-3","2","L","AdLib",0.6
"319","484-3","3","L","AdLib",0.26
"320","484-3","4","L","AdLib",0.15
"321","484-3","5","L","AdLib",0.14
"322","484-3","6","L","AdLib",0.08
"323","484-3","7","L","AdLib",0.15
"324","484-3","8","L","AdLib",0.14
"325","484-4","0","L","AdLib",0.55
"326","484-4","1","L","AdLib",0.46
"327","484-4","2","L","AdLib",0.47
"328","484-4","3","L","AdLib",1.59
"329","484-4","4","L","AdLib",1.68
"330","484-4","5","L","AdLib",1.63
"331","484-4","6","L","AdLib",2.75
"332","484-4","7","L","AdLib",4.7
"333","484-4","8","L","AdLib",4.37
"334","489-1","0","OB","WM",1.14
"335","489-1","1","OB","WM",0.42
"336","489-1","2","OB","WM",0.2
"337","489-1","3","OB","WM",0.34
"338","489-1","4","OB","WM",0.15
"339","489-1","5","OB","WM",0.2
"340","489-1","6","OB","WM",0.13
"341","489-1","7","OB","WM",0.14
"342","489-1","8","OB","WM",0.12
"343","489-2","0","OB","WM",0.73
"344","489-2","1","OB","WM",0
"345","489-2","2","OB","WM",0
"346","489-2","3","OB","WM",0
"347","489-2","4","OB","WM",0
"348","489-2","5","OB","WM",0
"349","489-2","6","OB","WM",0
"350","489-2","7","OB","WM",0
"351","489-2","8","OB","WM",0
"352","490-1","0","OB","WM",0.49
"353","490-1","1","OB","WM",0.27
"354","490-1","2","OB","WM",0.12
"355","490-1","3","OB","WM",0
"356","490-1","4","OB","WM",0
"357","490-1","5","OB","WM",0
"358","490-1","6","OB","WM",0
"359","490-1","7","OB","WM",0
"360","490-1","8","OB","WM",0
"361","490-2","0","OB","AdLib",0.04
"362","490-2","1","OB","AdLib",0.06
"363","490-2","2","OB","AdLib",0.01
"364","490-2","3","OB","AdLib",0
"365","490-2","4","OB","AdLib",0
"366","490-2","5","OB","AdLib",0
"367","490-2","6","OB","AdLib",0
"368","490-2","7","OB","AdLib",0.06
"369","490-2","8","OB","AdLib",0.22
"370","490-3","0","OB","AdLib",2.57
"371","490-3","1","OB","AdLib",1.63
"372","490-3","2","OB","AdLib",0.97
"373","490-3","3","OB","AdLib",1.11
"374","490-3","4","OB","AdLib",0.77
"375","490-3","5","OB","AdLib",0.93
"376","490-3","6","OB","AdLib",2.9
"377","490-3","7","OB","AdLib",2.49
"378","490-3","8","OB","AdLib",3.08
"379","492-1","0","L","AdLib",5.71
"380","492-1","1","L","AdLib",6.99
"381","492-1","2","L","AdLib",6.13
"382","492-1","3","L","AdLib",4.88
"383","492-1","4","L","AdLib",2.97
"384","492-1","5","L","AdLib",1.99
"385","492-1","6","L","AdLib",1.2
"386","492-1","7","L","AdLib",1.87
"387","492-1","8","L","AdLib",1.85
"388","492-2","0","OB","WM",0
"389","492-2","1","OB","WM",0
"390","492-2","2","OB","WM",0
"391","492-2","3","OB","WM",0
"392","492-2","4","OB","WM",0
"393","492-2","5","OB","WM",0
"394","492-2","6","OB","WM",0
"395","492-2","7","OB","WM",1.39
"396","492-2","8","OB","WM",3.65
"397","496-2","0","OB","WM",0.22
"398","496-2","1","OB","WM",0.41
"399","496-2","2","OB","WM",0.19
"400","496-2","3","OB","WM",0.52
"401","496-2","4","OB","WM",0.8
"402","496-2","5","OB","WM",0.9
"403","496-2","6","OB","WM",1.02
"404","496-2","7","OB","WM",1.44
"405","496-2","8","OB","WM",2.09
"406","496-3","0","OB","WM",0.26
"407","496-3","1","OB","WM",0.26
"408","496-3","2","OB","WM",0.12
"409","496-3","3","OB","WM",0.13
"410","496-3","4","OB","WM",0.07
"411","496-3","5","OB","WM",0.19
"412","496-3","6","OB","WM",0.09
"413","496-3","7","OB","WM",0.16
"414","496-3","8","OB","WM",0.14
"415","496-4","0","OB","WM",0.25
"416","496-4","1","OB","WM",0.02
"417","496-4","2","OB","WM",0.11
"418","496-4","3","OB","WM",0.18
"419","496-4","4","OB","WM",0.17
"420","496-4","5","OB","WM",0.31
"421","496-4","6","OB","WM",0.42
"422","496-4","7","OB","WM",0.52
"423","496-4","8","OB","WM",0.53
"424","496-6","0","OB","AdLib",0.49
"425","496-6","1","OB","AdLib",0.5
"426","496-6","2","OB","AdLib",0.22
"427","496-6","3","OB","AdLib",0.44
"428","496-6","4","OB","AdLib",0
"429","496-6","5","OB","AdLib",0
"430","496-6","6","OB","AdLib",0
